Name,Depth,Temperature,Density,Width,Length,Area,Collection,Process,Loc,Site
P1,2,21,4640,722,1363,98.4086,17/06/2021,17/06/2021,P,1
P2,2,21,4640,722,1363,98.4086,18/06/2021,18/06/2021,P,2
PA,2,21,4640,722,1363,98.4086,19/06/2021,19/06/2021,P,A
PB,2,21,4640,722,1363,98.4086,20/06/2021,20/06/2021,P,B
V1,2.5,22,3045,1409,740,104.266,15/06/2021,16/06/2021,V,1
V2,2.5,22,3045,1409,740,104.266,16/06/2021,17/06/2021,V,2
VA,2.5,22,3045,1409,740,104.266,17/06/2021,18/06/2021,V,A
VB,2.5,22,3045,1409,740,104.266,18/06/2021,19/06/2021,V,B
D1,3,20,2800,483,1207,58.2981,16/06/2021,16/06/2021,D,1
D2,3,20,2800,483,1207,58.2981,17/06/2021,17/06/2021,D,2
DA,3,20,2800,483,1207,58.2981,18/06/2021,18/06/2021,D,A
DB,3,20,2800,483,1207,58.2981,19/06/2021,19/06/2021,D,B
K1,2.7,20,3200,1312,5000,656,15/06/2021,15/06/2021,K,1
K2,2.7,20,3200,1312,5000,656,16/06/2021,16/06/2021,K,2
KA,2.7,20,3200,1312,5000,656,17/06/2021,17/06/2021,K,A
KB,2.7,20,3200,1312,5000,656,18/06/2021,18/06/2021,K,B
X1,2.4,24,,465,300,13.95,1/07/2021,1/07/2021,X,1
X2,2.4,24,,465,300,13.95,1/07/2021,1/07/2021,X,2
XA,2.4,24,,465,300,13.95,1/07/2021,1/07/2021,X,A
XB,2.4,24,,465,300,13.95,1/07/2021,1/07/2021,X,B
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
