"","Site","Colour","Size","Type","loc","x","p"
"1","Blank","Red",0.18,"Fragment","B","SG Blank","SG B"
"2","Blank","Black",0.16,"Fragment","B","SG Blank","SG B"
"3","Blank","Black",0.07,"Fragment","B","SG Blank","SG B"
"4","Blank","Black",0.1,"Fragment","B","SG Blank","SG B"
"5","Blank","Other",0.15,"Fibre","B","SG Blank","SG B"
"6","Blank","Green",0.06,"Fibre","B","SG Blank","SG B"
"7","Blank","Green",0.08,"Fibre","B","SG Blank","SG B"
"8","Blank","Transparent",1.66,"Fibre","B","SG Blank","SG B"
"9","Blank","Transparent",0.69,"Fibre","B","SG Blank","SG B"
"10","Blank","Blue",0.56,"Fibre","B","SG Blank","SG B"
"11","Blank","Black",2.42,"Fibre","B","SG Blank","SG B"
"12","Blank","Red",1.53,"Fibre","B","SG Blank","SG B"
"13","K1A","Transparent",4.1,"Fibre","K","SG K1A","SG K"
"14","K1A","Transparent",1.44,"Fibre","K","SG K1A","SG K"
"15","K1A","Transparent",1.5,"Fibre","K","SG K1A","SG K"
"16","K1A","Transparent",3.38,"Fibre","K","SG K1A","SG K"
"17","K1A","Other",0.16,"Fibre","K","SG K1A","SG K"
"18","K1A","Black",1.93,"Fibre","K","SG K1A","SG K"
"19","K1A","Black",0.89,"Fibre","K","SG K1A","SG K"
"20","K1A","Black",1.88,"Fibre","K","SG K1A","SG K"
"21","K1A","Black",2.53,"Fibre","K","SG K1A","SG K"
"22","K1A","Black",2.57,"Fibre","K","SG K1A","SG K"
"23","K1A","Black",0.09,"Fibre","K","SG K1A","SG K"
"24","K1A","Black",0.54,"Fibre","K","SG K1A","SG K"
"25","K1A","Black",0.1,"Fibre","K","SG K1A","SG K"
"26","K1A","Black",0.69,"Fibre","K","SG K1A","SG K"
"27","K1A","Black",0.88,"Fibre","K","SG K1A","SG K"
"28","K1A","Black",1.62,"Fibre","K","SG K1A","SG K"
"29","K1A","Black",1.33,"Fibre","K","SG K1A","SG K"
"30","K1A","Blue",1.61,"Fibre","K","SG K1A","SG K"
"31","K1A","Blue",0.03,"Fibre","K","SG K1A","SG K"
"32","K1A","Blue",0.69,"Fibre","K","SG K1A","SG K"
"33","K1A","Blue",0.67,"Fibre","K","SG K1A","SG K"
"34","K1A","Blue",0.21,"Fibre","K","SG K1A","SG K"
"35","K1A","Blue",0.37,"Fibre","K","SG K1A","SG K"
"36","K1A","Green",1.73,"Fibre","K","SG K1A","SG K"
"37","K1A","Green",0.63,"Fibre","K","SG K1A","SG K"
"38","K1A","Green",1.7,"Fibre","K","SG K1A","SG K"
"39","K1A","Red",0.41,"Fibre","K","SG K1A","SG K"
"40","K1A","Other",0.83,"Fibre","K","SG K1A","SG K"
"41","K1A","Other",0.51,"Fibre","K","SG K1A","SG K"
"42","K1A","Black",0.09,"Fragment","K","SG K1A","SG K"
"43","K1B","Other",0.1,"Fibre","K","SG K1B","SG K"
"44","K1B","Other",5.8,"Fibre","K","SG K1B","SG K"
"45","K1B","Other",1.15,"Fibre","K","SG K1B","SG K"
"46","K1B","Other",1.28,"Fibre","K","SG K1B","SG K"
"47","K1B","Other",1.05,"Fibre","K","SG K1B","SG K"
"48","K1B","Other",0.11,"Fibre","K","SG K1B","SG K"
"49","K1B","Other",1.02,"Fibre","K","SG K1B","SG K"
"50","K1B","Other",5.17,"Fibre","K","SG K1B","SG K"
"51","K1B","Other",5.14,"Fibre","K","SG K1B","SG K"
"52","K1B","Black",0.47,"Fibre","K","SG K1B","SG K"
"53","K1B","Black",0.53,"Fibre","K","SG K1B","SG K"
"54","K1B","Black",0.34,"Fibre","K","SG K1B","SG K"
"55","K1B","Black",0.37,"Fibre","K","SG K1B","SG K"
"56","K1B","Black",0.35,"Fibre","K","SG K1B","SG K"
"57","K1B","Black",0.05,"Fibre","K","SG K1B","SG K"
"58","K1B","Black",0.93,"Fibre","K","SG K1B","SG K"
"59","K1B","Black",0.5,"Fibre","K","SG K1B","SG K"
"60","K1B","Black",0.03,"Fibre","K","SG K1B","SG K"
"61","K1B","Black",0.97,"Fibre","K","SG K1B","SG K"
"62","K1B","Black",6.54,"Fibre","K","SG K1B","SG K"
"63","K1B","Black",0.18,"Fibre","K","SG K1B","SG K"
"64","K1B","Black",0.21,"Fibre","K","SG K1B","SG K"
"65","K1B","Black",0.89,"Fibre","K","SG K1B","SG K"
"66","K1B","Black",0.73,"Fibre","K","SG K1B","SG K"
"67","K1B","Black",1.6,"Fibre","K","SG K1B","SG K"
"68","K1B","Black",1.75,"Fibre","K","SG K1B","SG K"
"69","K1B","Blue",1.99,"Fibre","K","SG K1B","SG K"
"70","K1B","Blue",0.87,"Fibre","K","SG K1B","SG K"
"71","K1B","Blue",0.07,"Fibre","K","SG K1B","SG K"
"72","K1B","Blue",0.07,"Fibre","K","SG K1B","SG K"
"73","K1B","Blue",10.97,"Fibre","K","SG K1B","SG K"
"74","K1B","Blue",0.85,"Fibre","K","SG K1B","SG K"
"75","K1B","Blue",0.07,"Fibre","K","SG K1B","SG K"
"76","K1B","Blue",0.26,"Fibre","K","SG K1B","SG K"
"77","K1B","Blue",0.01,"Fibre","K","SG K1B","SG K"
