"","loc","Coll","Type","Size","Colour","Site","x","p"
"47","D","1","Fibre",1.19,"Transparent","D1","Sediment D1","Sediment D"
"48","D","1","Fibre",0.16,"Blue","D1","Sediment D1","Sediment D"
"49","D","1","Fragment",0.45,"White","D1","Sediment D1","Sediment D"
"50","D","1","Fragment",0.35,"White","D1","Sediment D1","Sediment D"
"51","D","1","Fibre",0.7,"Black","D1","Sediment D1","Sediment D"
"52","D","1","Fibre",0.52,"Transparent","D1","Sediment D1","Sediment D"
"53","D","1","Fragment",0.55,"White","D1","Sediment D1","Sediment D"
"54","D","1","Fragment",0.37,"White","D1","Sediment D1","Sediment D"
"55","D","1","Fragment",0.5,"White","D1","Sediment D1","Sediment D"
"56","D","1","Fragment",0.45,"White","D1","Sediment D1","Sediment D"
"57","D","1","Fibre",0.2,"Red","D1","Sediment D1","Sediment D"
"35","D","2","Fibre",1.4,"Black","D2","Sediment D2","Sediment D"
"36","D","2","Fibre",0.25,"Red","D2","Sediment D2","Sediment D"
"37","D","2","Fibre",0.2,"Black","D2","Sediment D2","Sediment D"
"38","D","2","Fragment",0.38,"White","D2","Sediment D2","Sediment D"
"39","D","2","Fragment",0.6,"White","D2","Sediment D2","Sediment D"
"40","D","2","Fragment",0.52,"White","D2","Sediment D2","Sediment D"
"41","D","2","Fragment",0.4,"White","D2","Sediment D2","Sediment D"
"42","D","2","Fragment",0.26,"White","D2","Sediment D2","Sediment D"
"43","D","2","Fragment",0.65,"White","D2","Sediment D2","Sediment D"
"44","D","2","Fibre",1.43,"Black","D2","Sediment D2","Sediment D"
"45","D","2","Fibre",0.33,"Black","D2","Sediment D2","Sediment D"
"46","D","2","Fragment",0.4,"Black","D2","Sediment D2","Sediment D"
"58","D","A","Fragment",0.15,"Black","DA","Sediment DA","Sediment D"
"59","D","A","Fragment",0.14,"Green","DA","Sediment DA","Sediment D"
"60","D","A","Fibre",0.26,"Blue","DA","Sediment DA","Sediment D"
"61","D","A","Fibre",2.07,"Transparent","DA","Sediment DA","Sediment D"
"30","D","B","Fibre",1.6,"Transparent","DB","Sediment DB","Sediment D"
"31","D","B","Fibre",1.07,"Blue","DB","Sediment DB","Sediment D"
"32","D","B","Fibre",0.59,"Blue","DB","Sediment DB","Sediment D"
"33","D","B","Fibre",0.11,"Black","DB","Sediment DB","Sediment D"
"34","D","B","Fibre",0.94,"Transparent","DB","Sediment DB","Sediment D"
"142","K","1","Fibre",3.8,"Transparent","K1","Sediment K1","Sediment K"
"143","K","1","Fragment",0.15,"White","K1","Sediment K1","Sediment K"
"144","K","1","Fibre",0.71,"Blue","K1","Sediment K1","Sediment K"
"145","K","1","Fibre",0.97,"Blue","K1","Sediment K1","Sediment K"
"146","K","1","Fibre",0.6,"Blue","K1","Sediment K1","Sediment K"
"147","K","1","Fibre",1.11,"Transparent","K1","Sediment K1","Sediment K"
"148","K","2","Fibre",0.35,"Black","K2","Sediment K2","Sediment K"
"149","K","2","Fibre",2.44,"Green","K2","Sediment K2","Sediment K"
"150","K","2","Fibre",2.5,"White","K2","Sediment K2","Sediment K"
"151","K","2","Fragment",0.1,"White","K2","Sediment K2","Sediment K"
"152","K","2","Fragment",0.16,"Black","K2","Sediment K2","Sediment K"
"153","K","2","Fibre",1.33,"White","K2","Sediment K2","Sediment K"
